"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"bagi saldo ovonya qaqa<U+0001F602><U+0001F602><U+0001F602> https://t.co/2Jo4uiCIIg",FALSE,0,NA,2019-08-07 05:05:56,FALSE,NA,"1158967489688035328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nurul_weye",0,FALSE,FALSE,NA,NA
"@reresatriatjio Siap Kak. -Rara",FALSE,0,"reresatriatjio",2019-08-07 05:05:47,FALSE,"1158666542311079936","1158967451125612544","232562271","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","GrabID",0,FALSE,FALSE,NA,NA
"@GrabID kok dari tadi pagi drivers are busy mulu :((((",FALSE,0,"GrabID",2019-08-07 05:05:33,FALSE,NA,"1158967393063825409","2322081114","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jesuislaraa_",0,FALSE,FALSE,NA,NA
"@reresatriatjio Baik Kak, sudah kami respon melalui DM ya, silakan di cek. -Milan",FALSE,0,"reresatriatjio",2019-08-07 05:05:32,FALSE,"1158889271710797825","1158967387800010753","232562271","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","GrabID",0,FALSE,FALSE,NA,NA
"RT @strandofweb: @dnpr Saran untuk @GrabID dan juga @gojekindonesia, tolong buatkan fitur atau keterangan pada aplikasi yang menyertakan in…",FALSE,0,NA,2019-08-07 05:04:12,FALSE,NA,"1158967051815272448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","scftkangminhee",132,TRUE,FALSE,NA,NA
"RT @strandofweb: @dnpr Saran untuk @GrabID dan juga @gojekindonesia, tolong buatkan fitur atau keterangan pada aplikasi yang menyertakan in…",FALSE,0,NA,2019-08-07 05:04:04,FALSE,NA,"1158967020584497152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","glowwink",132,TRUE,FALSE,NA,NA
"@debbieCristiano Hai Kak. Mengenai informasi paket langganan, silakan Kakak cek di tautan https://t.co/OjWZzZXHZG ya. Thanks -Milan",FALSE,0,"debbieCristiano",2019-08-07 05:02:23,FALSE,"1158923777234726912","1158966594359316480","190210928","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","GrabID",0,FALSE,FALSE,NA,NA
"RT @GrabID: Pas mau bayar bukannya nambah saldo tapi nambah followers. https://t.co/GvIcyRZYsJ",FALSE,0,NA,2019-08-07 05:01:57,FALSE,NA,"1158966484720164864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","geminegurl",5021,TRUE,FALSE,NA,NA
"RT @GrabID: Pas mau bayar bukannya nambah saldo tapi nambah followers. https://t.co/GvIcyRZYsJ",FALSE,0,NA,2019-08-07 05:01:13,FALSE,NA,"1158966300263112704",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","anggiekrstnt",5021,TRUE,FALSE,NA,NA
"RT @GrabID: Pas mau bayar bukannya nambah saldo tapi nambah followers. https://t.co/GvIcyRZYsJ",FALSE,0,NA,2019-08-07 05:00:56,FALSE,NA,"1158966231396786176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alurrophile",5021,TRUE,FALSE,NA,NA
